Title,DOI,Downloaded
,10.1007/s00706-023-03123-x,0
,10.1038/s41557-023-01295-x,0
,10.1007/s10904-023-02762-1,0
,10.1007/s10570-023-05551-8,0
,10.1007/s10570-023-05488-y,0
,10.1007/s10570-023-05499-9,0
,10.1038/s41557-023-01329-4,0
,10.1007/s13738-023-02868-w,0
,10.1007/s00706-023-03128-6,0
,10.1007/s10570-023-05517-w,0
,10.1007/s10570-023-05490-4,0
,10.1007/s00289-022-04653-w,0
,10.1038/s41557-023-01275-1,0
,10.1007/s10570-023-05491-3,0
,10.1007/s10570-023-05473-5,0
,10.1007/s10570-023-05492-2,0
,10.1007/s10570-023-05561-6,0
,10.1038/s41429-023-00655-6,0
,10.1007/s10570-023-05495-z,0
,10.1007/s10904-023-02775-w,0
,10.1007/s00706-023-03121-z,0
,10.1007/s13738-023-02875-x,0
,10.1038/s41557-023-01280-4,0
,10.1007/s10570-023-05535-8,0
,10.1007/s00289-022-04654-9,0
,10.1007/s00289-022-04658-5,0
,10.1038/s41557-023-01256-4,0
,10.1038/s41557-023-01341-8,0
,10.1007/s10570-023-05472-6,0
,10.1007/s00289-023-05039-2,0
,10.1186/s40538-023-00495-4,0
,10.1186/s40538-023-00494-5,0
,10.1007/s11030-023-10740-5,0
,10.1007/s10904-023-02902-7,0
,10.1007/s00214-023-03057-x,0
,10.1007/s00214-023-03060-2,0
,10.1186/s40538-023-00490-9,0
,10.1186/s40538-023-00484-7,0
,10.1186/s40538-023-00474-9,0
,10.1007/s10904-023-02871-x,0
,10.1186/s40538-023-00489-2,0
,10.1186/s40538-023-00491-8,0
,10.1038/s41557-023-01346-3,0
,10.1007/s41981-023-00283-z,0
,10.1186/s40538-023-00493-6,0
,10.1186/s40538-023-00492-7,0
,10.1007/s11101-023-09893-w,0
,10.1007/s00289-023-05016-9,0
,10.1186/s40538-023-00487-4,0
,10.1007/s00723-023-01618-8,0
,10.1186/s40538-023-00486-5,0
,10.1186/s40538-023-00488-3,0
,10.1007/s11101-023-09895-8,0
,10.1007/s00723-023-01623-x,0
,10.1186/s40538-023-00483-8,0
,10.1186/s40538-023-00485-6,0
,10.1007/s00214-023-03036-2,0
,10.1007/s10904-023-02872-w,0
,10.1007/s00723-023-01622-y,0
,10.1186/s40538-023-00482-9,0
,10.1186/s40538-023-00472-x,0
,10.1186/s40538-023-00478-5,0
,10.1007/s00214-023-03035-3,0
,10.1186/s40538-023-00473-w,0
,10.1007/s00706-023-03120-0,0
,10.1007/s10847-023-01202-4,0
,10.1038/s41596-023-00858-z,0
,10.1038/s41596-023-00860-5,0
,10.1007/s00723-023-01614-y,0
,10.1007/s11030-022-10558-7,0
,10.1007/s00289-022-04579-3,0
,10.1007/s11030-022-10550-1,0
,10.1007/s11030-022-10548-9,0
,10.1007/s11101-023-09870-3,0
,10.1007/s40242-023-3201-3,0
,10.1007/s11030-022-10543-0,0
,10.1007/s11030-022-10552-z,0
,10.1007/s40097-022-00482-5,0
,10.1007/s40097-022-00478-1,0
,10.1038/s41557-023-01249-3,0
,10.1007/s10904-023-02746-1,0
,10.1007/s10930-023-10138-0,0
,10.1038/s41557-023-01251-9,0
,10.1038/s41557-023-01252-8,0
,10.1007/s10570-023-05440-0,0
,10.1007/s11030-022-10549-8,0
,10.1038/s41557-023-01255-5,0
,10.1007/s10570-023-05442-y,0
,10.1007/s13738-023-02851-5,0
